infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
abattre,to knock down,FALSE,abats,abats,abat,abattons,abattez,abattent,ai abattu,as abattu,a abattu,avons abattu,avez abattu,ont abattu,abattais,abattais,abattait,abattions,abattiez,abattaient,abattrai,abattras,abattra,abattrons,abattrez,abattront,abattrais,abattrais,abattrait,abattrions,abattriez,avais abattu,avais abattu,avait abattu,avions abattu,aviez abattu,avaient abattu,abattraient,abatte,abattes,abatte,abattions,abattiez,abattent,aurais abattu,aurais abattu,aurait abattu,aurions abattu,auriez abattu,auraient abattu,aurai abattu,auras abattu,aura abattu,aurons abattu,aurez abattu,auront abattu,N/A,abats,N/A,abattons,abattez,N/A,aie abattu,aies abattu,ait abattu,ayons abattu,ayez abattu,aient abattu,abattisse,abattisses,abattît,abattissions,abattissiez,abattissent,eusse abattu,eusses abattu,eût abattu,eussions abattu,eussiez abattu,eussent abattu,N/A,aie abattu,N/A,ayons abattu,ayez abattu,N/A,eus abattu,eus abattu,eut abattu,eûmes abattu,eûtes abattu,eurent abattu,abattis,abattis,abattit,abattîmes,abattîtes,abattirent,abattant
admirer,to admire,FALSE,admire,admires,admire,admirons,admirez,admirent,ai admiré,as admiré,a admiré,avons admiré,avez admiré,ont admiré,admirais,admirais,admirait,admirions,admiriez,admiraient,admirerai,admireras,admirera,admirerons,admirerez,admireront,admirerais,admirerais,admirerait,admirerions,admireriez,avais admiré,avais admiré,avait admiré,avions admiré,aviez admiré,avaient admiré,admireraient,admire,admires,admire,admirions,admiriez,admirent,aurais admiré,aurais admiré,aurait admiré,aurions admiré,auriez admiré,auraient admiré,aurai admiré,auras admiré,aura admiré,aurons admiré,aurez admiré,auront admiré,N/A,admire,N/A,admirons,admirez,N/A,aie admiré,aies admiré,ait admiré,ayons admiré,ayez admiré,aient admiré,admirasse,admirasses,admirât,admirassions,admirassiez,admirassent,eusse admiré,eusses admiré,eût admiré,eussions admiré,eussiez admiré,eussent admiré,N/A,aie admiré,N/A,ayons admiré,ayez admiré,N/A,eus admiré,eus admiré,eut admiré,eûmes admiré,eûtes admiré,eurent admiré,admirai,admiras,admira,admirâmes,admirâtes,admirèrent,admirant
aimer,to like/to love,FALSE,aime,aimes,aime,aimons,aimez,aiment,ai aimé,as aimé,a aimé,avons aimé,avez aimé,ont aimé,aimais,aimais,aimait,aimions,aimiez,aimaient,aimerai,aimeras,aimera,aimerons,aimerez,aimeront,aimerais,aimerais,aimerait,aimerions,aimeriez,avais aimé,avais aimé,avait aimé,avions aimé,aviez aimé,avaient aimé,aimeraient,aime,aimes,aime,aimions,aimiez,aiment,aurais aimé,aurais aimé,aurait aimé,aurions aimé,auriez aimé,auraient aimé,aurai aimé,auras aimé,aura aimé,aurons aimé,aurez aimé,auront aimé,N/A,aime,N/A,aimons,aimez,N/A,aie aimé,aies aimé,ait aimé,ayons aimé,ayez aimé,aient aimé,aimasse,aimasses,aimât,aimassions,aimassiez,aimassent,eusse aimé,eusses aimé,eût aimé,eussions aimé,eussiez aimé,eussent aimé,N/A,aie aimé,N/A,ayons aimé,ayez aimé,N/A,eus aimé,eus aimé,eut aimé,eûmes aimé,eûtes aimé,eurent aimé,aimai,aimas,aima,aimâmes,aimâtes,aimèrent,aimant
accorder,to admit,FALSE,accorde,accordes,accorde,accordons,accordez,accordent,ai accordé,as accordé,a accordé,avons accordé,avez accordé,ont accordé,accordais,accordais,accordait,accordions,accordiez,accordaient,accorderai,accorderas,accordera,accorderons,accorderez,accorderont,accorderais,accorderais,accorderait,accorderions,accorderiez,avais accordé,avais accordé,avait accordé,avions accordé,aviez accordé,avaient accordé,accorderaient,accorde,accordes,accorde,accordions,accordiez,accordent,aurais accordé,aurais accordé,aurait accordé,aurions accordé,auriez accordé,auraient accordé,aurai accordé,auras accordé,aura accordé,aurons accordé,aurez accordé,auront accordé,N/A,accorde,N/A,accordons,accordez,N/A,aie accordé,aies accordé,ait accordé,ayons accordé,ayez accordé,aient accordé,accordasse,accordasses,accordât,accordassions,accordassiez,accordassent,eusse accordé,eusses accordé,eût accordé,eussions accordé,eussiez accordé,eussent accordé,N/A,aie accordé,N/A,ayons accordé,ayez accordé,N/A,eus accordé,eus accordé,eut accordé,eûmes accordé,eûtes accordé,eurent accordé,accordai,accordas,accorda,accordâmes,accordâtes,accordèrent,accordant
acclamer,to cheer/acclaim,FALSE,acclame,acclames,acclame,acclamons,acclamez,acclament,ai acclamé,as acclamé,a acclamé,avons acclamé,avez acclamé,ont acclamé,acclamais,acclamais,acclamait,acclamions,acclamiez,acclamaient,acclamerai,acclameras,acclamera,acclamerons,acclamerez,acclameront,acclamerais,acclamerais,acclamerait,acclamerions,acclameriez,avais acclamé,avais acclamé,avait acclamé,avions acclamé,aviez acclamé,avaient acclamé,acclameraient,acclame,acclames,acclame,acclamions,acclamiez,acclament,aurais acclamé,aurais acclamé,aurait acclamé,aurions acclamé,auriez acclamé,auraient acclamé,aurai acclamé,auras acclamé,aura acclamé,aurons acclamé,aurez acclamé,auront acclamé,N/A,acclame,N/A,acclamons,acclamez,N/A,aie acclamé,aies acclamé,ait acclamé,ayons acclamé,ayez acclamé,aient acclamé,acclamasse,acclamasses,acclamât,acclamassions,acclamassiez,acclamassent,eusse acclamé,eusses acclamé,eût acclamé,eussions acclamé,eussiez acclamé,eussent acclamé,N/A,aie acclamé,N/A,ayons acclamé,ayez acclamé,N/A,eus acclamé,eus acclamé,eut acclamé,eûmes acclamé,eûtes acclamé,eurent acclamé,acclamai,acclamas,acclama,acclamâmes,acclamâtes,acclamèrent,acclamant
affaiblir,to weaken,FALSE,affaiblis,affaiblis,affaiblit,affaiblissons,affaiblissez,affaiblissent,ai affaibli,as affaibli,a affaibli,avons affaibli,avez affaibli,ont affaibli,affaiblissais,affaiblissais,affaiblissait,affaiblissions,affaiblissiez,affaiblissaient,affaiblirai,affaibliras,affaiblira,affaiblirons,affaiblirez,affaibliront,affaiblirais,affaiblirais,affaiblirait,affaiblirions,affaibliriez,avais affaibli,avais affaibli,avait affaibli,avions affaibli,aviez affaibli,avaient affaibli,affaibliraient,affaiblisse,affaiblisses,affaiblisse,affaiblissions,affaiblissiez,affaiblissent,aurais affaibli,aurais affaibli,aurait affaibli,aurions affaibli,auriez affaibli,auraient affaibli,aurai affaibli,auras affaibli,aura affaibli,aurons affaibli,aurez affaibli,auront affaibli,N/A,affaiblis,N/A,affaiblissons,affaiblissez,N/A,aie affaibli,aies affaibli,ait affaibli,ayons affaibli,ayez affaibli,aient affaibli,affaiblisse,affaiblisses,affaiblît,affaiblissions,affaiblissiez,affaiblissent,eusse affaibli,eusses affaibli,eût affaibli,eussions affaibli,eussiez affaibli,eussent affaibli,N/A,aie affaibli,N/A,ayons affaibli,ayez affaibli,N/A,eus affaibli,eus affaibli,eut affaibli,eûmes affaibli,eûtes affaibli,eurent affaibli,affaiblis,affaiblis,affaiblit,affaiblîmes,affaiblîtes,affaiblirent,affaiblissant
adjoindre,to appoint,TRUE,adjoins,adjoins,adjoint,adjoignons,adjoignez,adjoignent,ai adjoint,as adjoint,a adjoint,avons adjoint,avez adjoint,ont adjoint,adjoignais,adjoignais,adjoignait,adjoignions,adjoigniez,adjoignaient,adjoindrai,adjoindras,adjoindra,adjoindrons,adjoindrez,adjoindront,adjoindrais,adjoindrais,adjoindrait,adjoindrions,adjoindriez,avais adjoint,avais adjoint,avait adjoint,avions adjoint,aviez adjoint,avaient adjoint,adjoindraient,adjoigne,adjoignes,adjoigne,adjoignions,adjoigniez,adjoignent,aurais adjoint,aurais adjoint,aurait adjoint,aurions adjoint,auriez adjoint,auraient adjoint,aurai adjoint,auras adjoint,aura adjoint,aurons adjoint,aurez adjoint,auront adjoint,N/A,adjoins,N/A,adjoignons,adjoignez,N/A,aie adjoint,aies adjoint,ait adjoint,ayons adjoint,ayez adjoint,aient adjoint,adjoignisse,adjoignisses,adjoignît,adjoignissions,adjoignissiez,adjoignissent,eusse adjoint,eusses adjoint,eût adjoint,eussions adjoint,eussiez adjoint,eussent adjoint,N/A,aie adjoint,N/A,ayons adjoint,ayez adjoint,N/A,eus adjoint,eus adjoint,eut adjoint,eûmes adjoint,eûtes adjoint,eurent adjoint,adjoignis,adjoignis,adjoignit,adjoignîmes,adjoignîtes,adjoignirent,adjoignant
accrocher,to hang (up),FALSE,accroche,accroches,accroche,accrochons,accrochez,accrochent,ai accroché,as accroché,a accroché,avons accroché,avez accroché,ont accroché,accrochais,accrochais,accrochait,accrochions,accrochiez,accrochaient,accrocherai,accrocheras,accrochera,accrocherons,accrocherez,accrocheront,accrocherais,accrocherais,accrocherait,accrocherions,accrocheriez,avais accroché,avais accroché,avait accroché,avions accroché,aviez accroché,avaient accroché,accrocheraient,accroche,accroches,accroche,accrochions,accrochiez,accrochent,aurais accroché,aurais accroché,aurait accroché,aurions accroché,auriez accroché,auraient accroché,aurai accroché,auras accroché,aura accroché,aurons accroché,aurez accroché,auront accroché,N/A,accroche,N/A,accrochons,accrochez,N/A,aie accroché,aies accroché,ait accroché,ayons accroché,ayez accroché,aient accroché,accrochasse,accrochasses,accrochât,accrochassions,accrochassiez,accrochassent,eusse accroché,eusses accroché,eût accroché,eussions accroché,eussiez accroché,eussent accroché,N/A,aie accroché,N/A,ayons accroché,ayez accroché,N/A,eus accroché,eus accroché,eut accroché,eûmes accroché,eûtes accroché,eurent accroché,accrochai,accrochas,accrocha,accrochâmes,accrochâtes,accrochèrent,accrochant
advenir,to happen,TRUE,adviens,adviens,advient,advenons,advenez,adviennent,suis advenu,es advenu,est advenu,sommes advenu,êtes advenu,sont advenu,advenais,advenais,advenait,advenions,adveniez,advenaient,adviendrai,adviendras,adviendra,adviendrons,adviendrez,adviendront,adviendrais,adviendrais,adviendrait,adviendrions,adviendriez,étais advenu,étais advenu,était advenu,étions advenu,étiez advenu,étaient advenu,adviendraient,advienne,adviennes,advienne,advenions,adveniez,adviennent,serais advenu,serais advenu,serait advenu,serions advenu,seriez advenu,seraient advenu,serai advenu,seras advenu,sera advenu,serons advenu,serez advenu,seront advenu,N/A,adviens,N/A,advenons,advenez,N/A,sois advenu,sois advenu,soit advenu,soyons advenu,soyez advenu,soient advenu,advinsse,advinsses,advînt,advinssions,advinssiez,advinssent,fusse advenu,fusses advenu,fût advenu,fussions advenu,fussiez advenu,fussent advenu,N/A,sois advenu,N/A,soyons advenu,soyez advenu,N/A,fus advenu,fus advenu,fut advenu,fûmes advenu,fûtes advenu,fûrent advenu,advins,advins,advint,advînmes,advîntes,advinrent,advenant
asseoir,to sit down,TRUE,assieds,assieds,assied,asseyons,asseyez,asseyent,suis assis,es assis,est assis,sommes assis,êtes assis,sont assis,asseyais,asseyais,asseyait,asseyions,asseyiez,asseyaient,assiérai,assiéras,assiéra,assiérons,assiérez,assiéront,assiérais,assiérais,assiérait,assiérions,assiériez,étais assis,étais assis,était assis,étions assis,étiez assis,étaient assis,assiéraient,asseye,asseyes,asseye,asseyions,asseyiez,asseyent,serais assis,serais assis,serait assis,serions assis,seriez assis,seraient assis,serai assis,seras assis,sera assis,serons assis,serez assis,seront assis,N/A,assieds,N/A,asseyons,asseyez,N/A,sois assis,sois assis,soit assis,soyons assis,soyez assis,soient assis,assisse,assisses,assît,assissions,assissiez,assissent,fusse assis,fusses assis,fût assis,fussions assis,fussiez assis,fussent assis,N/A,sois assis,N/A,soyons assis,soyez assis,N/A,fus assis,fus assis,fut assis,fûmes assis,fûtes assis,fûrent assis,assis,assis,assit,assîmes,assîtes,assirent,asseyant
annoncer,to announce,FALSE,annonce,annonces,annonce,annonçons,annoncez,annoncent,ai annoncé,as annoncé,a annoncé,avons annoncé,avez annoncé,ont annoncé,annonçais,annonçais,annonçait,annoncions,annonciez,annonçaient,annoncerai,annonceras,annoncera,annoncerons,annoncerez,annonceront,annoncerais,annoncerais,annoncerait,annoncerions,annonceriez,avais annoncé,avais annoncé,avait annoncé,avions annoncé,aviez annoncé,avaient annoncé,annonceraient,annonce,annonces,annonce,annoncions,annonciez,annoncent,aurais annoncé,aurais annoncé,aurait annoncé,aurions annoncé,auriez annoncé,auraient annoncé,aurai annoncé,auras annoncé,aura annoncé,aurons annoncé,aurez annoncé,auront annoncé,N/A,annonce,N/A,annonçons,annoncez,N/A,aie annoncé,aies annoncé,ait annoncé,ayons annoncé,ayez annoncé,aient annoncé,annonçasse,annonçasses,annonçât,annonçassions,annonçassiez,annonçassent,eusse annoncé,eusses annoncé,eût annoncé,eussions annoncé,eussiez annoncé,eussent annoncé,N/A,aie annoncé,N/A,ayons annoncé,ayez annoncé,N/A,eus annoncé,eus annoncé,eut annoncé,eûmes annoncé,eûtes annoncé,eurent annoncé,annonçai,annonças,annonça,annonçâmes,annonçâtes,annoncèrent,annonçant
apprendre,to learn,TRUE,apprends,apprends,apprend,apprenons,apprenez,apprennent,ai appris,as appris,a appris,avons appris,avez appris,ont appris,apprenais,apprenais,apprenait,apprenions,appreniez,apprenaient,apprendrai,apprendras,apprendra,apprendrons,apprendrez,apprendront,apprendrais,apprendrais,apprendrait,apprendrions,apprendriez,avais appris,avais appris,avait appris,avions appris,aviez appris,avaient appris,apprendraient,apprenne,apprennes,apprenne,apprenions,appreniez,apprennent,aurais appris,aurais appris,aurait appris,aurions appris,auriez appris,auraient appris,aurai appris,auras appris,aura appris,aurons appris,aurez appris,auront appris,N/A,apprends,N/A,apprenons,apprenez,N/A,aie appris,aies appris,ait appris,ayons appris,ayez appris,aient appris,apprisse,apprisses,apprît,apprissions,apprissiez,apprissent,eusse appris,eusses appris,eût appris,eussions appris,eussiez appris,eussent appris,N/A,aie appris,N/A,ayons appris,ayez appris,N/A,eus appris,eus appris,eut appris,eûmes appris,eûtes appris,eurent appris,appris,appris,apprit,apprîmes,apprîtes,apprirent,apprenant
arracher,to pull up/out,FALSE,arrache,arraches,arrache,arrachons,arrachez,arrachent,ai arraché,as arraché,a arraché,avons arraché,avez arraché,ont arraché,arrachais,arrachais,arrachait,arrachions,arrachiez,arrachaient,arracherai,arracheras,arrachera,arracherons,arracherez,arracheront,arracherais,arracherais,arracherait,arracherions,arracheriez,avais arraché,avais arraché,avait arraché,avions arraché,aviez arraché,avaient arraché,arracheraient,arrache,arraches,arrache,arrachions,arrachiez,arrachent,aurais arraché,aurais arraché,aurait arraché,aurions arraché,auriez arraché,auraient arraché,aurai arraché,auras arraché,aura arraché,aurons arraché,aurez arraché,auront arraché,N/A,arrache,N/A,arrachons,arrachez,N/A,aie arraché,aies arraché,ait arraché,ayons arraché,ayez arraché,aient arraché,arrachasse,arrachasses,arrachât,arrachassions,arrachassiez,arrachassent,eusse arraché,eusses arraché,eût arraché,eussions arraché,eussiez arraché,eussent arraché,N/A,aie arraché,N/A,ayons arraché,ayez arraché,N/A,eus arraché,eus arraché,eut arraché,eûmes arraché,eûtes arraché,eurent arraché,arrachai,arrachas,arracha,arrachâmes,arrachâtes,arrachèrent,arrachant
animer,to bring to life (a party),FALSE,anime,animes,anime,animons,animez,animent,ai animé,as animé,a animé,avons animé,avez animé,ont animé,animais,animais,animait,animions,animiez,animaient,animerai,animeras,animera,animerons,animerez,animeront,animerais,animerais,animerait,animerions,animeriez,avais animé,avais animé,avait animé,avions animé,aviez animé,avaient animé,animeraient,anime,animes,anime,animions,animiez,animent,aurais animé,aurais animé,aurait animé,aurions animé,auriez animé,auraient animé,aurai animé,auras animé,aura animé,aurons animé,aurez animé,auront animé,N/A,anime,N/A,animons,animez,N/A,aie animé,aies animé,ait animé,ayons animé,ayez animé,aient animé,animasse,animasses,animât,animassions,animassiez,animassent,eusse animé,eusses animé,eût animé,eussions animé,eussiez animé,eussent animé,N/A,aie animé,N/A,ayons animé,ayez animé,N/A,eus animé,eus animé,eut animé,eûmes animé,eûtes animé,eurent animé,animai,animas,anima,animâmes,animâtes,animèrent,animant
apporter,to bring,FALSE,apporte,apportes,apporte,apportons,apportez,apportent,ai apporté,as apporté,a apporté,avons apporté,avez apporté,ont apporté,apportais,apportais,apportait,apportions,apportiez,apportaient,apporterai,apporteras,apportera,apporterons,apporterez,apporteront,apporterais,apporterais,apporterait,apporterions,apporteriez,avais apporté,avais apporté,avait apporté,avions apporté,aviez apporté,avaient apporté,apporteraient,apporte,apportes,apporte,apportions,apportiez,apportent,aurais apporté,aurais apporté,aurait apporté,aurions apporté,auriez apporté,auraient apporté,aurai apporté,auras apporté,aura apporté,aurons apporté,aurez apporté,auront apporté,N/A,apporte,N/A,apportons,apportez,N/A,aie apporté,aies apporté,ait apporté,ayons apporté,ayez apporté,aient apporté,apportasse,apportasses,apportât,apportassions,apportassiez,apportassent,eusse apporté,eusses apporté,eût apporté,eussions apporté,eussiez apporté,eussent apporté,N/A,aie apporté,N/A,ayons apporté,ayez apporté,N/A,eus apporté,eus apporté,eut apporté,eûmes apporté,eûtes apporté,eurent apporté,apportai,apportas,apporta,apportâmes,apportâtes,apportèrent,apportant
arranger,to arrange,FALSE,arrange,arranges,arrange,arrangeons,arrangez,arrangent,ai arrangé,as arrangé,a arrangé,avons arrangé,avez arrangé,ont arrangé,arrangeais,arrangeais,arrangeait,arrangions,arrangiez,arrangeaient,arrangerai,arrangeras,arrangera,arrangerons,arrangerez,arrangeront,arrangerais,arrangerais,arrangerait,arrangerions,arrangeriez,avais arrangé,avais arrangé,avait arrangé,avions arrangé,aviez arrangé,avaient arrangé,arrangeraient,arrange,arranges,arrange,arrangions,arrangiez,arrangent,aurais arrangé,aurais arrangé,aurait arrangé,aurions arrangé,auriez arrangé,auraient arrangé,aurai arrangé,auras arrangé,aura arrangé,aurons arrangé,aurez arrangé,auront arrangé,N/A,arrange,N/A,arrangeons,arrangez,N/A,aie arrangé,aies arrangé,ait arrangé,ayons arrangé,ayez arrangé,aient arrangé,arrangeasse,arrangeasses,arrangeât,arrangeassions,arrangeassiez,arrangeassent,eusse arrangé,eusses arrangé,eût arrangé,eussions arrangé,eussiez arrangé,eussent arrangé,N/A,aie arrangé,N/A,ayons arrangé,ayez arrangé,N/A,eus arrangé,eus arrangé,eut arrangé,eûmes arrangé,eûtes arrangé,eurent arrangé,arrangeai,arrangeas,arrangea,arrangeâmes,arrangeâtes,arrangèrent,arrangeant
apparaître,to appear,TRUE,apparais,apparais,apparaît,apparaissons,apparaissez,apparaissent,suis apparu,es apparu,est apparu,sommes apparu,êtes apparu,sont apparu,apparaissais,apparaissais,apparaissait,apparaissions,apparaissiez,apparaissaient,apparaîtrai,apparaîtras,apparaîtra,apparaîtrons,apparaîtrez,apparaîtront,apparaîtrais,apparaîtrais,apparaîtrait,apparaîtrions,apparaîtriez,étais apparu,étais apparu,était apparu,étions apparu,étiez apparu,étaient apparu,apparaîtraient,apparaisse,apparaisses,apparaisse,apparaissions,apparaissiez,apparaissent,serais apparu,serais apparu,serait apparu,serions apparu,seriez apparu,seraient apparu,serai apparu,seras apparu,sera apparu,serons apparu,serez apparu,seront apparu,N/A,apparais,N/A,apparaissons,apparaissez,N/A,sois apparu,sois apparu,soit apparu,soyons apparu,soyez apparu,soient apparu,apparusse,apparusses,apparût,apparussions,apparussiez,apparussent,fusse apparu,fusses apparu,fût apparu,fussions apparu,fussiez apparu,fussent apparu,N/A,sois apparu,N/A,soyons apparu,soyez apparu,N/A,fus apparu,fus apparu,fut apparu,fûmes apparu,fûtes apparu,fûrent apparu,apparus,apparus,apparut,apparûmes,apparûtes,apparurent,apparaissant
astreindre,to compel,TRUE,astreins,astreins,astreint,astreignons,astreignez,astreignent,ai astreint,as astreint,a astreint,avons astreint,avez astreint,ont astreint,astreignais,astreignais,astreignait,astreignions,astreigniez,astreignaient,astreindrai,astreindras,astreindra,astreindrons,astreindrez,astreindront,astreindrais,astreindrais,astreindrait,astreindrions,astreindriez,avais astreint,avais astreint,avait astreint,avions astreint,aviez astreint,avaient astreint,astreindraient,astreigne,astreignes,astreigne,astreignions,astreigniez,astreignent,aurais astreint,aurais astreint,aurait astreint,aurions astreint,auriez astreint,auraient astreint,aurai astreint,auras astreint,aura astreint,aurons astreint,aurez astreint,auront astreint,N/A,astreins,N/A,astreignons,astreignez,N/A,aie astreint,aies astreint,ait astreint,ayons astreint,ayez astreint,aient astreint,astreignisse,astreignisses,astreignît,astreignissions,astreignissiez,astreignissent,eusse astreint,eusses astreint,eût astreint,eussions astreint,eussiez astreint,eussent astreint,N/A,aie astreint,N/A,ayons astreint,ayez astreint,N/A,eus astreint,eus astreint,eut astreint,eûmes astreint,eûtes astreint,eurent astreint,astreignis,astreignis,astreignit,astreignîmes,astreignîtes,astreignirent,astreignant
